freq/Hz	Re(Z)/Ohm	-Im(Z)/Ohm	|Z|/Ohm	Phase(Z)/deg	time/s	cycle number	
1.9999814E+005	1.9668688E-001	-1.4774559E-001	2.4599694E-001	3.6912834E+001	1.739476535905851E+000	1.000000000000000E+000
1.4939319E+005	2.0495817E-001	-1.0886128E-001	2.3207462E-001	2.7974516E+001	2.563498201750917E+000	1.000000000000000E+000
1.1159256E+005	2.0781140E-001	-7.9951413E-002	2.2266075E-001	2.1043262E+001	3.387481867539464E+000	1.000000000000000E+000
8.3358078E+004	2.0846143E-001	-5.7898138E-002	2.1635240E-001	1.5522118E+001	4.348477993189590E+000	1.000000000000000E+000
6.2258758E+004	2.0904630E-001	-4.1904885E-002	2.1320501E-001	1.1335131E+001	6.405494277569233E+000	1.000000000000000E+000
4.6782215E+004	2.0998631E-001	-3.0171461E-002	2.1214281E-001	8.1764679E+000	7.503490863047773E+000	1.000000000000000E+000
3.4989234E+004	2.1075028E-001	-2.0916551E-002	2.1178570E-001	5.6679320E+000	8.327473888843087E+000	1.000000000000000E+000
2.6165383E+004	2.1189249E-001	-1.4008710E-002	2.1235506E-001	3.7824543E+000	9.151482461282285E+000	1.000000000000000E+000
1.9568363E+004	2.1312022E-001	-8.8679111E-003	2.1330464E-001	2.3826971E+000	9.975488473806763E+000	1.000000000000000E+000
1.4632197E+004	2.1419415E-001	-5.1264144E-003	2.1425548E-001	1.3710265E+000	1.079947632623953E+001	1.000000000000000E+000
1.0939354E+004	2.1558122E-001	-2.3848442E-003	2.1559441E-001	6.3380259E-001	1.162348663204466E+001	1.000000000000000E+000
8.1792080E+003	2.1649048E-001	-3.1085368E-004	2.1649070E-001	8.2269631E-002	1.254113835564931E+001	1.000000000000000E+000
6.1213794E+003	2.1772952E-001	1.0982173E-003	2.1773230E-001	-2.8899473E-001	1.369266630372294E+001	1.000000000000000E+000
4.5764648E+003	2.1882498E-001	2.1225719E-003	2.1883528E-001	-5.5574369E-001	1.503068964727572E+001	1.000000000000000E+000
3.4210947E+003	2.1993946E-001	2.7360038E-003	2.1995647E-001	-7.1271157E-001	1.614670596695214E+001	1.000000000000000E+000
2.5708225E+003	2.2090174E-001	3.0108949E-003	2.2092226E-001	-7.8089422E-001	1.748368056378968E+001	1.000000000000000E+000
1.9131631E+003	2.2184435E-001	3.1907628E-003	2.2186729E-001	-8.2402211E-001	1.859992264345055E+001	1.000000000000000E+000
1.4322919E+003	2.2256294E-001	3.1876545E-003	2.2258577E-001	-8.2056189E-001	1.971542008305551E+001	1.000000000000000E+000
1.0703425E+003	2.2321750E-001	3.1600653E-003	2.2323987E-001	-8.1107581E-001	2.083068880275823E+001	1.000000000000000E+000
8.0025592E+002	2.2395405E-001	3.1475555E-003	2.2397617E-001	-8.0520880E-001	2.194671336243482E+001	1.000000000000000E+000
5.9865900E+002	2.2453226E-001	2.9976796E-003	2.2455227E-001	-7.6489758E-001	2.306619013557793E+001	1.000000000000000E+000
4.4785031E+002	2.2498648E-001	2.9708662E-003	2.2500609E-001	-7.5652635E-001	2.418671546882979E+001	1.000000000000000E+000
3.3467871E+002	2.2554530E-001	3.0435571E-003	2.2556584E-001	-7.7311474E-001	2.530295754849794E+001	1.000000000000000E+000
2.5040062E+002	2.2597837E-001	3.1284778E-003	2.2600003E-001	-7.9316050E-001	2.641844941480667E+001	1.000000000000000E+000
1.8721666E+002	2.2651604E-001	3.0916096E-003	2.2653714E-001	-7.8195429E-001	2.752239226721576E+001	1.000000000000000E+000
1.4004485E+002	2.2694366E-001	3.4383917E-003	2.2696970E-001	-8.6801398E-001	2.863769498690817E+001	1.000000000000000E+000
1.0476534E+002	2.2746488E-001	3.6954929E-003	2.2749490E-001	-9.3077016E-001	2.975719728003605E+001	1.000000000000000E+000
7.8320786E+001	2.2810516E-001	4.0918672E-003	2.2814186E-001	-1.0276909E+000	3.089405624073697E+001	1.000000000000000E+000
5.8593750E+001	2.2865421E-001	4.4601373E-003	2.2869770E-001	-1.1174719E+000	3.203457509484724E+001	1.000000000000000E+000
4.3781132E+001	2.2935531E-001	4.9200463E-003	2.2940807E-001	-1.2288997E+000	3.317834181585931E+001	1.000000000000000E+000
3.2747005E+001	2.3004813E-001	5.4019196E-003	2.3011155E-001	-1.3451546E+000	3.436350677881273E+001	1.000000000000000E+000
2.4505960E+001	2.3103765E-001	6.2500047E-003	2.3112217E-001	-1.5495812E+000	3.549879205945763E+001	1.000000000000000E+000
1.8339199E+001	2.3193125E-001	7.0509370E-003	2.3203841E-001	-1.7413114E+000	3.670588750342722E+001	1.000000000000000E+000
1.3690127E+001	2.3302674E-001	8.0072135E-003	2.3316428E-001	-1.9680105E+000	3.791692646761658E+001	1.000000000000000E+000
1.0239186E+001	2.3434877E-001	9.1966530E-003	2.3452915E-001	-2.2473304E+000	3.901007814620971E+001	1.000000000000000E+000
7.6593132E+000	2.3582354E-001	1.0488719E-002	2.3605669E-001	-2.5466647E+000	4.043288949379348E+001	1.000000000000000E+000
5.7276392E+000	2.3748255E-001	1.2076579E-002	2.3778941E-001	-2.9111254E+000	4.142333580748527E+001	1.000000000000000E+000
4.2831688E+000	2.3933828E-001	1.3899407E-002	2.3974153E-001	-3.3236802E+000	4.270827277519857E+001	1.000000000000000E+000
3.2018445E+000	2.4145289E-001	1.6003290E-002	2.4198265E-001	-3.7919691E+000	4.438917162836879E+001	1.000000000000000E+000
2.3979437E+000	2.4411538E-001	1.8518323E-002	2.4481677E-001	-4.3380857E+000	4.659893242665567E+001	1.000000000000000E+000
1.7918581E+000	2.4735741E-001	2.1177007E-002	2.4826227E-001	-4.8933306E+000	4.952605363234761E+001	1.000000000000000E+000
1.3395916E+000	2.5067860E-001	2.4499569E-002	2.5187296E-001	-5.5819607E+000	5.341265645698877E+001	1.000000000000000E+000
1.0023737E+000	2.5475875E-001	2.7963169E-002	2.5628883E-001	-6.2638998E+000	5.962390757864341E+001	1.000000000000000E+000
7.5004834E-001	2.5957316E-001	3.2016490E-002	2.6154020E-001	-7.0315099E+000	6.650173553201603E+001	1.000000000000000E+000
5.5995554E-001	2.6493528E-001	3.6285214E-002	2.6740852E-001	-7.7986407E+000	7.568946031501400E+001	1.000000000000000E+000
4.1876611E-001	2.7169630E-001	4.0969227E-002	2.7476782E-001	-8.5750570E+000	8.794813983063796E+001	1.000000000000000E+000
3.1325185E-001	2.7770120E-001	4.6485797E-002	2.8156507E-001	-9.5029211E+000	1.043119213545579E+002	1.000000000000000E+000
2.3456734E-001	2.8415510E-001	5.2253835E-002	2.8891969E-001	-1.0419820E+001	1.261423404180969E+002	1.000000000000000E+000
1.7551447E-001	2.9111403E-001	5.9495077E-002	2.9713136E-001	-1.1550501E+001	1.552951075627643E+002	1.000000000000000E+000
1.3099428E-001	2.9876235E-001	6.9939338E-002	3.0683947E-001	-1.3175505E+001	1.943325880836055E+002	1.000000000000000E+000
9.8009102E-002	3.0705073E-001	8.4005132E-002	3.1833476E-001	-1.5300964E+001	2.464871861874999E+002	1.000000000000000E+000
7.3290735E-002	3.1771433E-001	1.0150150E-001	3.3353403E-001	-1.7717335E+001	3.162105745125155E+002	1.000000000000000E+000
5.4772288E-002	3.3365333E-001	1.2352013E-001	3.5578331E-001	-2.0314804E+001	4.094862454762042E+002	1.000000000000000E+000
4.0958036E-002	3.5664949E-001	1.5066187E-001	3.8716644E-001	-2.2900986E+001	5.342007511598640E+002	1.000000000000000E+000
3.0650720E-002	3.8825378E-001	1.8086684E-001	4.2831507E-001	-2.4978313E+001	7.008340416078281E+002	1.000000000000000E+000
2.2912171E-002	4.3390840E-001	2.0855108E-001	4.8142502E-001	-2.5670517E+001	9.237264575279842E+002	1.000000000000000E+000
1.7141698E-002	4.9263337E-001	2.2742428E-001	5.4259509E-001	-2.4780416E+001	1.221631212024338E+003	1.000000000000000E+000
1.2833336E-002	5.5878693E-001	2.3156476E-001	6.0486782E-001	-2.2509420E+001	1.619526603296661E+003	1.000000000000000E+000
9.5951417E-003	6.2296909E-001	2.1535414E-001	6.5914178E-001	-1.9069754E+001	2.151683869106171E+003	1.000000000000000E+000
7.1759499E-003	6.7189473E-001	1.8536040E-001	6.9699425E-001	-1.5422965E+001	2.863223875622512E+003	1.000000000000000E+000
5.3663990E-003	7.0474231E-001	1.5434678E-001	7.2144622E-001	-1.2353394E+001	3.814674625480635E+003	1.000000000000000E+000
4.0131938E-003	7.2609764E-001	1.2552783E-001	7.3686838E-001	-9.8083506E+000	5.086923390442535E+003	1.000000000000000E+000
3.0008093E-003	7.4104768E-001	1.0086145E-001	7.4788016E-001	-7.7507048E+000	6.788370292403619E+003	1.000000000000000E+000
